video_id,author_name,my_desc,related
7090247339964665093,mynezalezhna,Zelensky support,Y
7076397333730282798,ret.navy.wife,Support for NATO to help ukraine in war,Y
7075253619737513222,wellestt,Support for Zelensky,Y
7068629690658901253,m1ukraine,Ukrainian soldiers accepting support,Y
7068520796448247041,truyenhinhvov,Vietnamese coverage of ukraine invasion,Y
7069818167127723270,viceworldnews,Defense of Kyiv,Y
7068550506850946305,moeytactics,Joke about how invasion will expand to world war,Y
7070882566173117701,skv.eeditz,Zelensky support,Y
7075412463402994950,unmoderated.ivanhoe,Video singing peace beatles song with stop the war and ukraine flag description,Y
7120177678547733766,alinaivanov.a,Wedding in ukraine in context of invasion,Y
7093482584809737477,domovasasha,Ukraine parliament speech during invasion,Y
7080024393543421190,javelin_102,Random cat video using ukraine war hashtags,N
7071173098883517701,wissensbert,News update about invasion,Y
7084628605048753414,u24_news,Zelensky speech about invasion,Y
7100452866057325830,history_revealed,Coverage of ukrainian army training and its advantages in the war,Y
7069994200565140741,techstrasse,Zelensky support,Y
7069499243588783365,footy_editsandmore_,Zelensky vs putin comparison,Y
7076991420329889066,2rawtooreal2,Criticism of US politician stance on Zelensky and ukraine,Y
7067565464381459759,philipdefranco,Coverage of ukraine saying Russia wants to recreate USSR,Y
7084647910029249798,chupopak,"Ukraine person vlog in ukrainian, standwithukraine hashtag",Y
7088294647172320538,anakbangsa1946,Ukraine Russia war joke video,Y
7100630085782260997,saylesshustle,Trump commetary on Putin's thoughts on the invasion,Y
7120002645653376302,kungfupippa,"Sunflowers in ukraine, russian flag in video, ukraine war hashtags",Y
7108039766888779014,mynezalezhna,"Ukrainian video of interview joke, standwithukraine hashtag",N
7072297151413472518,pavlenokvika,Ukraine video of city with russiaisoccupant hashtag,Y
7069829844640615723,thenewsmovement,News coverage of zelensky,Y
7070629728713002282,nasty_woman,War protestor in russia arrested,Y
7069740710114823470,africansindiaspora,African refugees in ukraine,Y
7096447742880271622,drawings_by_maty,Random ukrainian video using stopthewar hashtag,N
7067458556232011014,jessica_lucy_x,Worrying about the invasion now that russia has started it,Y
7070928159541071106,devilishly_beautiful,Putin talking about something,Y
7079555570054827270,maxklymenko,People talking about their support for ukraine in war,Y
7103293906439228678,kv.art.ua,Ukraine song with footage of war destruction,Y
7068716716913691930,maffy1725,Pictures of ukraine supporters,Y
7068359226770443526,skynews,Biden supporting sanctions against russia for invasion,Y
7077682792636927278,supportukraineastopwar,Zelensky and war destruction footage,Y
7081674856063880453,news_ww3ita,Italian coverage of Russia invasion and war footage,Y
7070468407795141893,wissensbert,Influencer coverage of putin invasion of ukraine,Y
7068984713704213786,olahbolacom,Football support for ukraine and antiwar protests,Y
7077666146597571883,charlesmcbryde,Coverage of people displaced due to invasion in ukraine,Y
7089391600954117382,kkuzzmina,"Ukrainian refugee now in ireland, with destruction footage",Y
7069201077568064811,melodystanfordmartin,Explaining nato joining process for ukraine,Y
7080126771022023978,cbsmornings,Biden saying Putin cannot remain in power,Y
